A2,A3
7,1726
7,1083
7,1915
7,1419
5,528
5,267
7,1198
7,1193
7,1240
5,130
7,1152
5,864
7,1080
7,1467
5,559
5,117
5,198
7,1988
7,1729
7,1612
7,1892
5,819
7,1648
5,998
7,1168
7,1954
5,703
7,1737
7,1257
7,1831
5,451
7,1058
7,1305
5,976
5,513
5,436
5,162
5,933
7,1489
7,1266
7,1890
7,1749
7,1503
5,24
5,630
7,1200
7,1400
5,601
5,599
7,1490
7,1460
7,1060
5,843
5,460
7,1374
7,1916
5,72
7,1670
7,1577
5,47
5,614
7,1815
7,1147
7,1747
5,33
7,1569
7,1623
7,1677
7,1235
5,565
5,379
7,1220
7,1386
7,1478
5,699
7,1308
7,1004
5,680
5,118
7,1341
5,921
5,668
7,1620
5,539
7,1410
7,1181
7,1791
5,509
5,148
7,1237
5,738
5,879
7,1930
7,1911
5,534
5,697
5,109
5,758
7,1476
5,659
7,1766
5,331
5,950
7,1134
5,124
7,1973
7,1858
5,187
7,1713
5,573
7,1735
7,1856
7,1969
7,1014
5,206
5,861
7,1836
5,169
7,1529
7,1008
5,391
5,729
5,642
5,684
5,709
7,1079
5,608
5,195
5,922
7,1628
7,1912
5,495
5,287
7,1698
7,1705
5,440
5,216
5,959
7,1522
7,1178
5,781
7,1702
7,1479
7,1638
7,1322
7,1217
7,1039
7,1052
5,224
5,977
7,1971
5,813
5,852
5,490
7,1118
7,1681
5,672
7,1875
5,254
7,1408
7,1099
5,438
5,551
5,158
5,337
5,32
5,320
7,1330
7,1443
7,1388
5,761
7,1627
7,1667
5,157
7,1979
5,661
5,442
7,1656
7,1996
5,81
7,1659
7,1255
7,1871
5,44
7,1662
5,434
5,966
7,1461
7,1420
7,1607
5,887
7,1970
5,132
7,1994
5,855
7,1435
5,350
7,1090
7,1252
7,1800
5,494
5,829
7,1290
5,558
7,1413
7,1982
5,110
7,1868
7,1721
7,1567
5,865
7,1442
5,621
7,1630
7,1439
5,427
5,595
7,1574
7,1359
7,1809
7,1678
7,1406
5,475
5,302
7,1418
5,634
5,780
7,1340
7,1834
5,499
5,405
7,1851
5,797
7,1209
5,108
5,214
7,1651
7,1011
5,412
7,1285
5,609
7,1680
5,627
7,1103
7,1213
7,1076
5,801
5,740
7,1728
7,1498
7,1317
5,943
7,1421
5,981
5,294
7,1674
5,51
7,1826
7,1436
7,1923
5,64
7,1399
5,603
7,1615
7,1106
5,79
5,594
7,1811
7,1509
5,649
7,1233
7,1718
5,439
7,1473
5,750
5,394
5,125
5,136
7,1409
7,1584
7,1617
7,1536
5,899
7,1512
7,1239
5,411
5,692
5,481
7,1299
5,156
7,1690
7,1639
7,1846
5,227
7,1107
5,536
7,1514
5,537
5,741
7,1825
7,1159
5,644
7,1636
5,437
5,778
7,1902
7,1210
5,457
7,1389
5,691
5,61
5,786
5,231
7,1697
7,1743
5,219
5,815
5,441
5,256
7,1370
5,116
5,626
7,1053
7,1205
7,1486
7,1407
7,1335
5,53
7,1932
7,1835
7,1563
5,247
5,600
7,1275
7,1551
7,1541
2002,8
5,151
7,1772
7,1804
5,993
7,1318
7,1122
7,1547
7,1653
5,209
7,1596
7,1464
7,1699
5,392
7,1742
7,1978
5,515
5,968
7,1184
5,49
7,1867
7,1199
5,445
5,76
7,1530
5,37
5,517
7,1751
5,70
5,868
5,433
5,67
7,1624
5,826
7,1362
5,662
5,777
5,796
5,580
5,811
5,318
7,1057
7,1434
5,806
7,1896
7,1716
7,1647
7,1502
5,377
7,1345
5,846
7,1998
7,1110
7,1757
7,1395
5,701
7,1549
5,193
7,1398
5,177
7,1495
7,1325
7,1175
7,1521
5,359
5,428
5,5
7,1082
7,1154
5,893
5,332
7,1544
7,1576
7,1468
5,685
7,1664
7,1865
5,587
5,280
7,1481
7,1111
5,923
5,618
5,809
7,1006
7,1302
7,1265
5,316
7,1458
7,1724
5,470
5,255
7,1845
7,1741
5,189
5,274
7,1174
5,388
7,1036
5,176
5,504
7,1277
7,1586
7,1367
5,191
7,1382
7,1999
7,1507
5,596
5,87
5,180
5,980
5,491
5,542
5,96
5,814
7,1885
5,823
5,839
5,886
5,38
7,1828
7,1411
7,1527
5,538
7,1689
7,1691
5,792
5,477
7,1488
7,1123
7,1862
5,730
7,1043
5,23
5,166
7,1643
7,1833
5,766
5,289
7,1246
7,1034
7,1364
7,1470
7,1556
5,511
5,501
5,938
5,775
7,1641
5,577
7,1937
5,401
5,8
7,1588
7,1519
7,1444
5,480
5,548
5,409
7,1310
7,1357
5,471
5,245
7,1459
7,1247
5,425
7,1139
7,1842
5,343
5,55
7,1097
5,127
5,235
5,770
7,1156
5,105
7,1893
7,1898
7,1096
7,1019
7,1138
7,1573
7,1793
7,1649
7,1284
7,1829
7,1769
5,999
5,683
5,174
7,1773
5,844
7,1591
5,581
7,1365
7,1267
5,478
5,465
7,1417
7,1338
7,1450
5,562
5,144
5,572
7,1545
5,422
5,969
7,1778
7,1517
7,1748
5,393
5,1000
7,1064
7,1022
7,1582
5,713
7,1002
5,466
5,290
5,755
5,84
7,1227
7,1884
5,939
7,1169
7,1908
7,1990
5,342
7,1351
7,1397
5,763
7,1694
7,1221
7,1958
7,1931
5,987
5,374
5,589
5,949
7,1098
7,1968
5,19
5,605
5,164
7,1814
5,737
7,1560
7,1849
7,1642
5,237
7,1753
7,1850
7,1059
5,21
7,1903
7,1943
5,817
5,303
7,1466
5,31
5,936
5,700
5,370
7,1101
5,553
5,208
5,952
5,507
5,736
5,898
7,1936
7,1120
5,134
5,178
5,159
7,1788
5,210
5,702
7,1487
7,1262
7,1493
5,223
5,426
5,567
7,1086
7,1558
7,1538
5,760
7,1557
5,120
5,485
5,670
5,389
5,357
5,545
7,1926
5,447
7,1780
7,1061
5,624
7,1244
5,821
7,1683
7,1822
5,613
7,1980
7,1719
5,720
7,1941
5,588
7,1510
5,403
7,1249
7,1332
7,1880
5,830
5,739
7,1013
5,733
5,586
5,489
5,722
5,696
7,1179
5,597
7,1445
7,1555
5,328
7,1907
7,1048
5,985
5,505
7,1750
5,915
5,851
5,648
5,759
7,1142
7,1113
5,932
7,1802
5,955
7,1921
7,1604
7,1763
7,1701
5,95
7,1023
5,12
5,330
5,306
5,602
7,1986
7,1295
7,1807
7,1789
5,734
7,1605
5,983
7,1349
7,1088
7,1872
7,1291
7,1590
7,1927
5,590
5,29
7,1622
7,1129
5,992
7,1533
5,11
5,632
5,300
7,1253
5,410
7,1870
5,689
7,1440
7,1449
7,1433
5,273
7,1347
7,1736
7,1109
5,113
5,795
5,376
7,1818
7,1679
5,619
7,1245
5,468
7,1377
5,650
7,1144
5,344
7,1821
5,352
5,664
7,1448
7,1752
7,1288
7,1007
5,106
7,1035
5,309
5,230
7,1336
7,1281
7,1760
5,390
5,173
5,929
7,1805
5,341
5,714
5,160
7,1758
5,529
7,1909
7,1722
7,1026
7,1540
5,794
7,1887
7,1904
7,1673
7,1254
5,665
5,345
7,1910
7,1071
5,918
7,1692
5,657
7,1967
7,1813
7,1520
5,779
5,800
7,1155
5,83
7,1166
7,1783
5,508
5,383
7,1676
7,1427
7,1017
5,313
5,168
5,769
5,335
7,1404
7,1342
5,150
7,1428
5,812
7,1416
7,1585
7,1130
5,751
5,544
5,240
7,1438
5,402
7,1454
5,798
5,25
7,1955
7,1119
5,543
5,788
5,526
5,622
7,1799
5,896
7,1319
5,712
7,1841
5,296
5,982
7,1094
7,1583
5,716
7,1182
7,1465
5,368
7,1141
7,1838
7,1214
5,753
5,762
7,1032
5,805
7,1211
7,1616
7,1024
5,472
7,1124
7,1914
5,48
7,1508
7,1140
5,266
7,1172
5,909
7,1157
7,1455
7,1126
5,205
5,617
7,1537
5,165
7,1917
7,1055
5,502
7,1564
5,288
5,297
5,111
7,1001
7,1637
5,236
7,1739
7,1525
5,953
7,1105
7,1311
5,832
7,1568
7,1957
7,1774
7,1334
7,1575
7,1121
5,859
7,1965
7,1016
5,991
7,1303
5,257
7,1185
7,1068
5,429
5,163
5,916
5,129
7,1730
7,1695
5,103
5,46
5,880
5,327
5,901
7,1396
5,413
5,695
5,874
7,1282
7,1292
7,1952
5,416
7,1405
5,454
7,1369
5,487
5,482
5,2
5,419
5,358
5,395
5,73
5,591
5,754
5,455
5,430
5,604
5,107
5,4
5,222
7,1431
5,946
7,1599
7,1133
5,52
5,251
7,1765
7,1238
7,1180
5,681
5,746
5,139
7,1953
5,278
5,215
7,1839
5,324
5,80
5,30
7,1085
7,1762
5,908
7,1201
5,827
5,252
5,184
7,1554
7,1900
5,82
7,1116
5,304
7,1608
7,1091
5,283
7,1513
5,997
5,824
7,1594
7,1658
7,1189
7,1666
5,268
5,731
7,1754
5,838
5,774
5,353
7,1131
5,35
7,1823
7,1328
7,1251
7,1104
5,799
7,1304
5,521
5,593
5,59
5,239
7,1687
7,1759
5,380
7,1250
5,90
5,444
7,1993
5,234
5,348
5,149
7,1756
7,1837
7,1243
5,725
5,790
5,745
7,1208
5,960
5,153
7,1816
7,1028
5,293
7,1863
5,707
5,584
7,1320
5,161
7,1928
7,1194
7,1613
5,334
7,1553
7,1942
7,1356
7,1372
5,956
5,431
5,276
5,995
5,690
7,1782
5,787
5,336
5,408
5,628
5,248
7,1084
5,418
5,970
7,1663
7,1570
5,298
7,1755
5,674
7,1959
7,1092
5,557
5,645
5,835
7,1337
5,803
7,1078
7,1274
7,1368
7,1087
5,854
5,213
7,1785
7,1812
7,1261
7,1640
7,1869
7,1918
7,1381
5,369
5,671
7,1044
7,1987
5,443
5,326
5,506
5,564
5,152
5,453
5,101
5,965
7,1935
7,1160
7,1939
5,540
5,773
5,663
5,945
5,676
5,249
7,1384
5,655
7,1720
7,1010
7,1271
7,1115
7,1984
7,1803
7,1784
5,837
5,226
5,275
7,1897
7,1354
7,1661
5,22
5,905
5,238
5,140
7,1197
7,1196
7,1321
5,259
5,914
7,1944
7,1447
5,311
7,1501
7,1371
7,1095
5,583
5,975
7,1009
5,816
5,363
5,221
7,1771
5,527
5,767
5,232
7,1414
5,452
7,1137
5,406
5,919
7,1685
5,849
5,323
7,1073
5,535
5,841
7,1745
7,1578
7,1162
7,2000
7,1781
7,1018
5,747
5,686
5,496
7,1706
5,43
7,1600
7,1484
5,92
5,947
7,1669
7,1081
5,317
5,902
7,1844
5,305
5,3
5,532
5,735
7,1072
7,1258
5,263
7,1992
7,1348
5,988
5,1
5,519
7,1102
5,708
7,1216
7,1150
7,1062
7,1882
7,1313
7,1985
7,1874
7,1974
7,1383
5,514
7,1894
5,295
5,871
7,1960
5,203
5,194
5,142
5,382
7,1852
7,1278
5,285
7,1452
5,875
5,935
7,1646
5,807
7,1878
5,10
7,1899
7,1070
5,941
5,253
7,1344
5,269
5,518
7,1231
7,1611
5,28
5,497
5,260
5,679
7,1020
5,99
7,1033
5,840
7,1543
7,1534
7,1792
5,818
5,765
5,911
5,764
5,782
7,1652
7,1483
7,1589
5,404
7,1801
5,74
7,1296
7,1891
7,1301
5,910
5,62
5,752
5,407
5,356
5,292
7,1951
5,715
5,963
5,228
7,1864
7,1279
7,1387
5,850
5,928
5,904
5,845
5,638
5,85
5,242
5,772
7,1241
5,492
5,68
7,1843
7,1360
5,967
7,1492
5,721
7,1761
7,1054
5,711
7,1946
5,246
7,1075
5,920
5,643
7,1688
7,1977
7,1733
7,1373
5,183
7,1963
5,484
7,1188
5,962
5,17
7,1975
7,1552
7,1618
7,1787
5,420
7,1696
7,1861
5,20
7,1710
7,1777
7,1066
5,749
5,66
7,1358
5,364
7,1682
5,91
5,876
7,1633
5,170
5,744
5,631
5,652
7,1786
7,1711
7,1186
7,1938
5,688
7,1300
5,726
5,673
5,175
7,1117
7,1355
5,656
7,1561
7,1668
5,199
5,307
7,1707
7,1684
7,1219
5,446
7,1248
5,530
5,361
5,351
7,1394
5,582
7,1485
7,1539
7,1824
7,1350
7,1040
5,77
7,1108
5,262
7,1717
7,1770
7,1768
5,186
7,1832
7,1339
7,1050
7,1883
5,381
7,1581
5,435
7,1148
5,546
5,461
7,1715
7,1877
7,1820
5,277
5,417
5,516
7,1603
5,710
5,88
7,1866
7,1989
5,742
5,94
7,1506
5,97
5,498
7,1606
5,877
7,1067
7,1550
7,1895
7,1390
7,1315
5,869
7,1187
5,100
5,552
5,286
7,1995
7,1276
7,1441
7,1901
5,456
5,366
