A1,A3
2430,2543
2480,2710
2759,1237
2834,648
2804,1354
2383,898
2161,1198
2028,62
2253,755
2426,1844
2543,621
2712,1100
2921,1840
2304,2358
2477,2431
2916,926
2650,697
2120,1269
2792,1970
2455,1560
2531,1866
2998,559
2079,2877
2414,303
2981,1969
2530,866
2489,1095
2340,33
2003,2608
2034,1654
2228,393
2273,2395
2724,273
2494,2498
2371,805
2956,943
2494,1763
2049,783
2692,559
2737,2440
2657,2977
2587,784
2592,347
2929,1492
2535,2167
2224,62
2136,1900
2202,1982
2510,1718
2163,288
2227,1667
2939,1506
2423,1651
2594,1038
2186,1630
2304,979
2397,1939
2502,2200
2213,710
2540,1037
2032,65
2605,2433
2940,1706
2013,734
2141,2899
2885,2313
2361,270
2758,2959
2294,686
2712,2558
2122,2593
2040,2063
2974,1866
2288,2341
2336,2034
2985,653
2289,2890
2169,1173
2580,1619
2997,1744
2790,2046
2598,2689
2233,1513
2427,644
2764,720
2998,1058
2010,1036
2786,2836
2103,2326
2186,1138
2421,2264
2672,1935
2865,197
2091,690
2068,261
2910,1269
2627,2355
2172,2430
2901,2775
2606,1892
2365,951
2610,2392
2127,2642
2852,1530
2644,2574
2702,126
2320,1697
2865,870
2383,1578
2443,2220
2372,1455
2843,1605
2390,2758
2020,266
2233,2636
2882,2820
2138,61
2435,563
2397,2912
2509,1914
2711,2547
2339,1546
2944,2960
2373,1791
2905,1293
2581,2515
2695,815
2912,1262
2801,2736
2527,2197
2508,2010
2531,949
2903,454
2337,1559
2516,1918
2036,2609
2554,1788
2695,2272
2963,2137
2854,2239
2998,990
2092,2551
2461,302
2589,344
2450,1636
2265,2593
2071,2777
2907,978
2948,889
2291,1268
2372,1800
2315,860
2198,1124
2819,895
2287,2560
2245,1603
2929,2350
2715,765
2998,1129
2300,194
2394,945
2937,1229
2827,2487
2862,1465
2119,1208
2338,2686
2705,2331
2502,296
2447,2873
2640,101
2851,638
2535,1427
2065,1570
2993,1827
2193,1683
2158,1487
2852,953
2864,2678
2078,1350
2553,654
2875,757
2940,2324
2838,2498
2802,2644
2140,323
2329,2308
2865,2376
2872,313
2693,889
2484,410
2653,2565
2207,552
2211,1445
2627,1533
2140,2463
2392,2004
2813,881
2573,443
2497,131
2425,849
2835,437
2994,1696
2705,2877
2178,2615
2282,357
2493,2448
2176,1134
2343,2712
2928,102
2802,127
2565,315
2669,2466
2722,2806
2127,102
2938,2986
2945,1256
2469,396
2303,498
2948,691
2806,744
2736,1151
2161,824
2268,146
2727,2323
2533,2744
2905,134
2127,401
2525,931
2749,651
2502,2588
2145,710
2544,2589
2496,517
2648,2259
2993,32
2248,33
2311,810
2681,2189
2669,1491
2724,2184
2458,964
2685,1470
2303,671
2630,1362
2979,1167
2227,2448
2478,292
2968,1316
2333,2102
2101,2446
2492,97
2656,227
2530,1275
2799,1924
2469,1908
2484,2394
2176,1808
2670,1905
2460,1746
2914,1202
2866,2864
2014,2380
2578,685
2041,985
2007,79
2156,2314
2183,167
2740,2225
2597,2000
2075,2772
2081,1190
2359,929
2081,466
2311,182
2511,188
2787,1779
2448,1118
2210,53
2431,475
2605,524
2700,2236
2724,2048
2962,1440
2917,2194
2669,616
2401,2196
2024,167
2746,1657
2402,951
2443,2574
2889,1921
2305,2475
2891,801
2310,1831
2435,2994
2338,1486
2392,2297
2666,1530
2995,1924
2687,2384
2954,2304
2992,348
2439,2230
2277,631
2727,1452
2967,704
2729,504
2928,2406
2409,1887
2652,1087
2538,1757
2457,2426
2226,1693
2631,475
2523,882
2308,1873
2600,671
2340,2315
2369,709
2448,1599
2133,1716
2077,2715
2021,111
2008,1118
2575,1042
2308,803
2512,1303
2699,2075
2627,1017
2979,2656
2867,825
2640,2248
2756,530
2850,2277
2453,1209
2721,2820
2122,1306
2539,649
2006,1248
2754,2461
2045,643
2165,2811
2982,295
2516,2458
2796,1980
2556,2599
2515,2296
2210,543
2054,1938
2276,1830
2781,2702
2225,1054
2029,2014
2948,2245
2933,2156
2993,29
2240,2145
2088,77
2442,1412
2833,2389
2653,2732
2812,154
2564,1153
2113,2006
2289,717
2430,1210
2284,2856
2535,387
2936,1091
2448,1955
2499,186
2447,2516
2046,2116
2510,2329
2582,2924
2424,1690
2838,2641
2759,2156
2993,442
2518,56
2666,2178
2815,1655
2558,1369
2652,298
2628,788
2813,1520
2793,1421
2177,1821
2380,820
2212,436
2831,2365
2908,2430
2369,910
2992,1789
2278,471
2619,2150
2928,1067
2134,1894
2244,1847
2764,632
2415,1121
2959,1649
2384,2941
2163,2102
2320,2568
2894,2160
2655,447
2497,1490
2215,2982
2600,2562
2079,1667
2591,1524
2022,2896
2641,2467
2353,1197
2748,2439
2054,1194
2616,913
2181,1455
2821,1530
2195,1851
2008,1241
2073,634
2408,1308
2393,202
2168,1023
2389,2569
2885,1828
2600,2001
2592,2275
2935,2671
2669,1258
2670,190
2227,2470
2658,1327
2318,187
2813,1567
2892,2457
2349,166
2361,412
2599,1187
2452,452
2436,1138
2792,1936
2481,2150
2560,387
2372,1683
2429,2472
2825,1839
2487,1058
2717,574
2957,375
2555,1185
2257,1060
2549,1940
2646,2679
2028,2831
2311,655
2116,36
2610,1530
2559,2596
2916,1460
2250,1181
2640,62
2527,149
2432,1467
2105,824
2094,437
2648,404
2852,1731
2731,2810
2517,346
2749,1765
2041,1251
2853,2095
2928,971
2132,1114
2045,1427
2019,1093
2218,2784
2913,1664
2724,2982
2941,1775
2214,1890
2479,2952
2959,2332
2685,2761
2976,1996
2050,2577
2992,2507
2602,1993
2842,351
2703,2501
2954,1863
2590,223
2876,1943
2248,2337
2577,620
2226,2186
2501,1756
2570,1961
2558,1420
2775,1943
2240,920
2466,2769
2819,638
2616,531
2475,1238
2757,1568
2374,262
2064,2433
2345,998
2295,924
2140,1116
2015,1294
2709,669
2902,1822
2139,2864
2450,2550
2589,2614
2054,2821
2533,1965
2154,1344
2002,1178
2268,2629
2520,1109
2165,1347
2651,2595
2189,2802
2180,1891
2367,137
2829,1496
2933,2666
2262,2774
2881,2485
2331,1852
2866,2900
2370,341
2783,897
2959,2073
2195,1380
2174,2309
2423,1176
2776,1659
2090,2438
2063,426
2068,1817
2742,2440
2192,1158
2625,1753
2576,1811
2184,1005
2196,676
2789,2766
2363,1672
2497,1195
2515,2197
2860,1107
2296,1252
2452,1427
2259,828
2427,1331
2941,829
2378,1783
2469,1909
2774,2036
2195,1246
2844,2107
2904,701
2587,2214
2096,1485
2810,1618
2058,48
2314,385
2860,978
2581,1431
2033,2158
2336,2320
2363,2810
2418,249
2508,627
2658,2048
2578,684
2509,2696
2049,2464
2353,2480
2976,2143
2536,2284
2536,2742
2778,2388
2505,29
2482,1076
2302,2886
2002,1497
2422,1886
2177,1591
2228,914
2367,1702
2370,2521
2897,947
2847,1964
2369,2733
2718,1110
2929,2206
2173,934
2835,953
2327,113
2114,336
2334,634
2096,2595
2801,2045
2735,2534
2336,1223
2168,1664
2969,138
2234,2643
2749,156
2346,1812
2993,347
2558,1536
2443,2654
2364,238
2228,2168
2923,593
2412,2874
2660,685
2254,587
2407,2057
2303,1178
2852,763
2158,1400
2982,2665
2208,2729
2258,2685
2336,1516
2244,2118
2464,1961
2285,2024
2095,1380
2881,227
2509,2395
2031,1580
2472,2667
2976,2281
2759,1194
2189,351
2092,1330
2271,1789
2289,2768
2703,1815
2441,7
2037,237
2865,2003
2935,2820
2225,2089
2196,3
2482,1773
2409,2340
2211,1404
2348,361
2696,1912
2750,1349
2580,2970
2424,2169
2052,1469
2461,2052
2860,910
2108,2117
2025,397
2439,1134
2606,2740
2333,208
2571,1274
2560,1830
2067,1184
2705,1002
2818,1392
2115,2437
2038,734
2622,1568
2797,2800
2224,2292
2208,1170
2464,2027
2101,1547
2651,2176
2899,2119
2645,1158
2411,842
2919,1017
2743,702
2054,1152
2195,1433
2375,2712
2758,2707
2620,1844
2367,1803
2150,2534
2919,2568
2674,2794
2550,2258
2815,2093
2869,1953
2137,2799
2042,2691
2012,716
2030,2636
2998,768
2252,1724
2259,2528
2564,1729
2003,905
2622,2786
2248,2527
2089,1376
2368,520
2156,514
2678,1160
2380,303
2846,1241
2711,362
2734,1413
2094,1071
2788,753
2067,2977
2751,538
2791,2015
2133,642
2720,1154
2161,11
2520,266
2426,958
2565,2622
2352,1680
2320,2434
2522,266
2839,1628
2009,2752
2283,1937
2424,713
2288,2640
2619,1772
2062,1520
2009,49
2311,1062
2532,818
2812,901
2573,458
2921,2822
2689,1434
2580,252
2844,2204
2542,2187
2501,1241
2598,1454
2535,2874
2745,2840
2029,675
2717,2341
2923,214
2549,2280
2652,1065
2417,537
2447,2769
2093,2421
2411,2841
2774,1899
2074,2593
2273,766
2724,2190
2828,2451
2928,1759
2528,1177
2116,925
2619,717
2040,2913
2881,1984
2246,1675
2306,583
2277,1973
2318,1566
2080,1564
2204,2905
2227,1115
2702,531
2499,1122
2964,426
2814,467
2895,1988
2938,1011
2350,2020
2259,2478
2062,1976
2313,2595
2162,32
2599,2097
2743,361
2474,256
2543,1805
2389,2578
2991,2978
2472,82
2994,2512
2768,14
2301,2106
2780,941
2490,445
2965,883
2028,2559
2632,2854
2390,2307
2614,988
2645,996
2870,536
2547,176
2868,1556
2510,1378
2616,1489
2485,975
2566,197
2746,1379
2045,1487
2934,963
2576,230
2892,2567
2313,2198
2640,2685
2791,143
2506,1947
2036,1156
2050,1087
2986,1511
2418,1029
2901,572
2203,1443
2330,2842
2489,1927
2038,1810
2745,849
2235,872
2540,2661
2705,580
2282,274
2150,1464
2168,1574
2932,1438
2258,1892
2653,168
2837,2964
2937,1626
2687,2213
2644,2147
2242,1030
2083,208
2912,913
2011,2099
2843,1987
2414,2799
2043,658
2130,1300
2017,2205
2730,160
2787,1292
2061,765
2716,2314
2517,1747
2471,451
2959,1913
2889,779
2711,482
2480,2015
2440,2585
2483,587
2061,179
2478,1871
2966,2667
2917,2556
2112,1371
2948,590
2592,2073
2949,2973
2113,1620
2153,719
2768,2980
2991,2510
2065,1425
2366,2318
2907,2551
2430,598
2295,485
2633,2849
2440,1753
2318,309
2902,472
2507,1305
2134,625
2709,2063
2969,1304
2822,1402
2463,2109
2707,2892
2236,2807
2265,1622
2086,13
2817,2185
2397,235
2277,359
2091,2964
2127,2073
2969,1211
2824,2917
2075,2478
2395,1630
2520,760
2617,212
2914,1722
2207,658
2220,1907
2159,1523
2900,2755
2243,1599
2804,1880
2115,2938
2710,2417
2192,1323
2069,2273
2949,2713
2206,1153
2906,1151
2091,908
2997,2699
2588,972
2474,2214
2567,1455
2680,1744
2675,1932
2764,660
2505,1826
2340,2148
2756,153
2425,2705
2478,2876
2315,2456
2901,1550
2756,30
2766,172
2582,1602
2527,1261
2258,2452
2869,1025
2295,1337
2822,1332
2234,701
2021,1322
2464,1603
2975,2284
2295,2523
2402,10
2615,1903
2115,2250
2571,2205
2155,130
2736,2321
2532,1936
2514,1034
2043,455
2101,1674
2654,2997
2844,2538
2868,1167
2113,1062
2479,349
2427,1547
2157,1207
2512,2651
2494,427
2516,2653
2359,987
2142,675
2930,2913
2261,1524
2499,20
2876,1612
2341,1967
2304,2188
2965,2206
2844,175
2336,333
2403,1268
2004,1660
2272,650
2305,1958
2094,805
2395,2991
2415,714
2307,2683
2968,1559
2768,2634
2348,1367
2118,2466
2641,1726
2855,319
2396,940
2439,3
2044,2917
2523,133
2684,2033
2727,185
2573,184
2435,2960
2340,2058
2994,796
2158,1015
2336,1815
2573,2981
2926,1642
2446,214
2437,896
2484,1324
2658,1204
2229,1364
2872,247
2263,2111
2646,349
2821,2664
2918,888
2300,811
2573,2973
2761,102
2902,2407
2755,1908
2201,2071
2904,138
2826,1902
2479,925
2241,787
2917,1196
2401,2768
2551,2901
2095,1712
2636,1637
2414,423
2565,1943
2777,1817
2847,2183
2118,434
2720,1942
2430,2557
2499,771
2770,172
2455,2523
2381,927
2808,1984
2348,2174
2291,1700
2225,1765
2715,2375
2897,71
2839,2827
2860,1638
2600,1911
2287,389
2131,1850
2411,2936
2521,1296
2569,762
2702,943
2818,483
2359,1490
2909,1901
2577,304
2076,2149
2412,351
2882,2901
2053,2500
2553,1096
2225,1553
2291,2994
2012,372
2990,2748
2179,563
2873,81
2447,2288
2588,847
2668,709
2320,2814
2284,1031
2976,42
2637,1398
2855,2432
2832,2768
2768,810
2824,935
2513,1898
2872,2599
2998,531
2983,1856
2947,1185
2287,2761
2713,2175
2189,238
2292,1621
2807,1188
2188,484
2938,1560
2723,485
2268,1278
2231,2487
2032,1963
2342,410
2536,854
2532,2677
2661,137
2062,138
2630,2593
2281,78
2628,931
2895,2049
2137,707
2763,2989
2854,253
2890,2696
2938,874
2105,1077
2960,1721
2767,1987
2798,160
2428,667
2132,697
2179,2187
2072,2768
2391,1043
2357,1087
2064,9
2496,816
2834,2288
2635,2091
2060,227
2317,26
2972,2938
2145,1666
2862,1517
2560,1045
2561,32
2317,1055
2841,1916
2504,1700
2464,2141
2902,1379
2665,596
2706,444
2647,2233
2907,1240
2406,686
2020,824
2259,1185
2728,115
2233,2353
2217,441
2352,251
2779,1693
2068,327
2459,1476
2190,205
2057,2306
2480,415
2286,1486
2719,2298
2941,2149
2893,2225
2334,1463
2441,2735
2374,23
2461,92
2863,2742
2724,2391
2053,676
2337,2069
2574,585
2268,991
2081,2949
2599,482
2159,2066
2104,723
2566,1040
2117,1892
2619,428
2432,608
2388,734
2035,2731
2299,1648
2926,2643
2516,1474
2576,422
2481,1757
2461,645
2309,1150
2673,686
2069,202
2910,2424
2448,113
2636,516
2067,1820
2679,2020
2646,1621
2775,2375
2869,1520
2844,1056
2078,641
2084,2585
2626,1954
2732,53
2780,2507
2187,498
2761,703
2839,767
2309,1579
2214,425
2282,2463
2659,265
2845,810
2059,1854
2146,2017
2594,1271
2353,2802
2609,763
2572,2584
2711,1539
2333,2426
2637,2239
2375,600
2788,2735
2813,793
2713,424
2161,922
2127,932
2210,1907
2879,2420
2084,2610
2105,2051
2147,1126
2705,462
2657,2191
2209,2404
2978,327
2515,67
2179,569
8,30
2490,2937
2225,2560
2605,1486
2363,2882
2797,2695
2148,1195
2183,329
2585,774
2782,1565
2887,1592
2557,1649
2746,659
2376,149
2733,2451
2852,2632
2106,2064
2245,2121
2967,2918
2198,2191
2942,2653
2513,2604
2215,2750
2331,455
2737,1850
2340,1999
2406,166
2304,405
2267,1832
2379,1908
2090,2034
2964,215
2697,2281
2752,2527
2361,2175
2275,2219
2218,163
2347,995
2818,1730
2083,1248
2031,1333
2670,1360
2078,402
2752,629
2662,1988
2152,388
2586,2417
