A1,A2
1692,7
1710,7
944,5
244,5
408,5
552,5
700,5
77,5
1296,7
1632,7
1705,7
1170,7
574,5
1846,7
479,5
1756,7
1082,7
1843,7
1244,7
1602,7
107,5
1623,7
789,5
1489,7
56,5
1094,7
854,5
1797,7
639,5
410,5
795,5
1270,7
1799,7
508,5
1350,7
48,5
291,5
26,5
679,5
645,5
45,5
1093,7
1926,7
1508,7
1534,7
346,5
212,5
1936,7
1248,7
3,5
1458,7
950,5
1594,7
490,5
1169,7
89,5
1968,7
175,5
1117,7
1577,7
1509,7
1598,7
1298,7
522,5
1290,7
351,5
1972,7
100,5
1517,7
1771,7
1061,7
1369,7
87,5
1711,7
1054,7
308,5
1941,7
1608,7
1947,7
945,5
1405,7
1097,7
1011,7
1990,7
1998,7
1607,7
1838,7
1699,7
297,5
1524,7
375,5
1321,7
1804,7
844,5
1810,7
1658,7
523,5
1108,7
1342,7
791,5
112,5
779,5
38,5
954,5
1805,7
895,5
1841,7
717,5
909,5
274,5
1555,7
476,5
1433,7
1360,7
1373,7
1017,7
442,5
900,5
1068,7
165,5
1409,7
1749,7
1504,7
1542,7
1495,7
867,5
530,5
1942,7
1875,7
1184,7
629,5
771,5
1796,7
1229,7
419,5
891,5
1912,7
180,5
1048,7
1247,7
362,5
1678,7
1801,7
770,5
194,5
1269,7
286,5
439,5
769,5
1444,7
846,5
376,5
1682,7
466,5
1867,7
384,5
823,5
1787,7
1800,7
1995,7
976,5
47,5
239,5
571,5
1490,7
1467,7
1780,7
328,5
1651,7
896,5
1738,7
118,5
232,5
9,5
1746,7
955,5
1481,7
1277,7
407,5
1461,7
871,5
1267,7
74,5
30,5
1305,7
569,5
58,5
974,5
572,5
784,5
456,5
310,5
1043,7
245,5
1417,7
1254,7
1645,7
267,5
497,5
1673,7
1288,7
1361,7
767,5
1437,7
183,5
1491,7
553,5
1387,7
358,5
469,5
191,5
1621,7
1817,7
1895,7
755,5
1833,7
1822,7
1656,7
181,5
1969,7
949,5
189,5
1214,7
602,5
99,5
1916,7
1424,7
1316,7
548,5
1584,7
953,5
233,5
797,5
766,5
586,5
1084,7
1844,7
509,5
474,5
413,5
66,5
462,5
373,5
82,5
1498,7
1140,7
982,5
227,5
520,5
248,5
1958,7
190,5
350,5
742,5
881,5
1413,7
1486,7
1399,7
1919,7
1613,7
975,5
540,5
1057,7
1732,7
188,5
756,5
1334,7
703,5
1714,7
554,5
926,5
916,5
643,5
1996,7
1866,7
1967,7
1529,7
186,5
211,5
1096,7
222,5
1601,7
1966,7
134,5
1852,7
256,5
231,5
939,5
296,5
361,5
1292,7
436,5
549,5
519,5
1696,7
1198,7
666,5
1722,7
924,5
1755,7
28,5
570,5
1765,7
1648,7
272,5
1110,7
313,5
904,5
1388,7
521,5
383,5
1445,7
1701,7
98,5
538,5
899,5
818,5
121,5
1155,7
440,5
746,5
1205,7
322,5
1274,7
1573,7
1582,7
1146,7
869,5
1447,7
1164,7
1465,7
1686,7
985,5
513,5
510,5
920,5
409,5
1547,7
391,5
489,5
827,5
1216,7
973,5
1299,7
1182,7
1330,7
1548,7
1679,7
617,5
656,5
241,5
357,5
1001,7
304,5
632,5
1309,7
814,5
1519,7
1050,7
427,5
1283,7
1717,7
1453,7
1779,7
922,5
2001,2002
1337,7
589,5
804,5
1178,7
1199,7
729,5
887,5
654,5
226,5
354,5
1719,7
1855,7
1766,7
1927,7
1190,7
42,5
1175,7
488,5
337,5
817,5
1357,7
452,5
1877,7
1675,7
39,5
638,5
1704,7
1047,7
495,5
1581,7
710,5
820,5
1366,7
1065,7
722,5
630,5
1056,7
885,5
1427,7
94,5
60,5
111,5
658,5
13,5
1111,7
434,5
1158,7
332,5
24,5
1204,7
207,5
1078,7
787,5
1847,7
604,5
1336,7
1159,7
640,5
692,5
1119,7
631,5
1311,7
1332,7
1246,7
154,5
1860,7
1559,7
461,5
1925,7
806,5
1222,7
550,5
450,5
751,5
505,5
884,5
1820,7
1051,7
575,5
299,5
990,5
21,5
744,5
18,5
1284,7
1494,7
753,5
303,5
19,5
242,5
1432,7
829,5
1077,7
220,5
1039,7
1595,7
800,5
129,5
1448,7
747,5
285,5
341,5
1271,7
1156,7
1629,7
544,5
1351,7
1924,7
92,5
913,5
1850,7
389,5
1040,7
1487,7
1918,7
133,5
1480,7
167,5
1708,7
960,5
877,5
333,5
213,5
447,5
932,5
1904,7
1720,7
177,5
526,5
223,5
1395,7
1173,7
1344,7
1572,7
280,5
1774,7
662,5
1992,7
1226,7
1414,7
197,5
565,5
1095,7
1576,7
119,5
941,5
705,5
1354,7
1200,7
855,5
235,5
934,5
1884,7
1255,7
472,5
1802,7
1546,7
1069,7
1552,7
1129,7
906,5
1662,7
1907,7
1037,7
621,5
1232,7
451,5
321,5
252,5
1030,7
300,5
1282,7
1863,7
636,5
269,5
6,5
984,5
1362,7
691,5
1422,7
301,5
1031,7
912,5
1537,7
1086,7
1858,7
1959,7
219,5
418,5
1789,7
1230,7
1389,7
1891,7
563,5
1165,7
525,5
1322,7
1783,7
1231,7
605,5
1076,7
316,5
1760,7
996,5
998,5
1104,7
1099,7
1876,7
957,5
567,5
994,5
1289,7
414,5
793,5
1886,7
719,5
1659,7
1137,7
596,5
1163,7
209,5
808,5
173,5
607,5
1619,7
84,5
1706,7
1842,7
1793,7
1460,7
114,5
905,5
1276,7
1046,7
73,5
584,5
980,5
155,5
51,5
712,5
1803,7
914,5
444,5
1029,7
736,5
372,5
1067,7
633,5
992,5
1685,7
1268,7
1757,7
555,5
711,5
147,5
302,5
1913,7
1539,7
637,5
1291,7
1905,7
506,5
1872,7
910,5
273,5
663,5
483,5
1553,7
1370,7
1162,7
1060,7
1823,7
764,5
237,5
1243,7
543,5
284,5
843,5
137,5
1407,7
1514,7
1541,7
454,5
835,5
1565,7
1873,7
145,5
41,5
327,5
32,5
772,5
1668,7
1179,7
1922,7
1949,7
1419,7
593,5
140,5
647,5
1528,7
1377,7
1808,7
1149,7
1335,7
661,5
737,5
399,5
1374,7
1215,7
1649,7
1585,7
406,5
1764,7
577,5
745,5
816,5
1934,7
457,5
971,5
675,5
1287,7
80,5
404,5
70,5
911,5
446,5
393,5
1435,7
694,5
1670,7
648,5
1010,7
1234,7
1126,7
627,5
1339,7
268,5
88,5
263,5
314,5
61,5
1736,7
4,5
492,5
580,5
1712,7
556,5
1456,7
1638,7
1879,7
1260,7
1943,7
1821,7
110,5
1954,7
1006,7
1940,7
1064,7
1586,7
1303,7
995,5
908,5
1596,7
236,5
1315,7
1824,7
1853,7
345,5
85,5
249,5
1020,7
366,5
1434,7
929,5
1021,7
812,5
1501,7
1049,7
1869,7
1080,7
1894,7
1643,7
282,5
204,5
1406,7
1206,7
1346,7
1952,7
516,5
1161,7
172,5
1036,7
1004,7
1183,7
1788,7
1026,7
1382,7
788,5
849,5
1009,7
95,5
1687,7
821,5
1457,7
1071,7
1450,7
1063,7
776,5
72,5
1411,7
1535,7
783,5
668,5
1745,7
2000,7
1070,7
31,5
824,5
1225,7
1818,7
377,5
1790,7
667,5
1105,7
465,5
993,5
1566,7
1874,7
833,5
942,5
598,5
1252,7
1251,7
674,5
255,5
1368,7
1171,7
815,5
234,5
1192,7
876,5
487,5
762,5
1684,7
1352,7
1986,7
701,5
1261,7
225,5
151,5
1083,7
359,5
102,5
938,5
174,5
681,5
680,5
1462,7
208,5
1835,7
2,5
16,5
1930,7
845,5
5,5
838,5
1521,7
773,5
1475,7
1849,7
1003,7
1236,7
443,5
336,5
136,5
1605,7
1965,7
673,5
1500,7
1257,7
371,5
1376,7
1442,7
1253,7
1452,7
1103,7
561,5
306,5
1980,7
582,5
979,5
1272,7
187,5
836,5
931,5
1655,7
265,5
1938,7
918,5
1310,7
138,5
397,5
794,5
763,5
614,5
1639,7
1622,7
1811,7
1135,7
948,5
1893,7
796,5
139,5
504,5
1196,7
628,5
902,5
1667,7
1440,7
485,5
117,5
160,5
1721,7
1081,7
1133,7
642,5
936,5
294,5
1693,7
143,5
1101,7
1415,7
943,5
728,5
879,5
1776,7
1085,7
1472,7
198,5
1868,7
400,5
1839,7
1794,7
1416,7
1831,7
1295,7
367,5
1120,7
1492,7
780,5
1957,7
1381,7
193,5
1400,7
432,5
1062,7
743,5
1301,7
809,5
1540,7
1703,7
853,5
1827,7
1911,7
1131,7
1125,7
81,5
897,5
96,5
192,5
997,5
355,5
130,5
438,5
721,5
1612,7
229,5
687,5
22,5
475,5
1474,7
813,5
168,5
968,5
